nom_voltage,nom_temperature,nom_process,related_pin A,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.512,0.1,0.1076798
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,1.024,0.1,0.2042866
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.016,1, 0.0172719
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.032,1,0.0208507
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.064,1,0.0256934
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.128,1,0.0364333
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.256,1,0.0593156
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.512,1,0.1076881
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,1.024,1,0.2042046
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.016,2, 0.0306221
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.032,2,0.0330439
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.064,2,0.0360004
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.128,2,0.0439141
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.256,2,0.0639244
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.512,2,0.1085989
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,1.024,2,0.2042857
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.016,4, 0.0554058
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.032,4,0.0596780
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.064,4,0.0631933
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.128,4,0.0689153
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.256,4,0.0823907
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.512,4,0.1198812
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,1.024,4,0.2071399
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.016,8, 0.1036086
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.032,8,0.1091040
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.064,8,0.1138387
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.128,8,0.1230444
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.256,8,0.1360676
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.512,8,0.1609839
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,1.024,8,0.2323931
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.016,16, 0.1954475
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.032,16,0.2031305
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.064,16,0.2107061
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.128,16,0.2238340
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.256,16,0.2427067
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.512,16,0.2703555
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,1.024,16,0.3164763
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.016,32, 0.3703824
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.032,32,0.3852358
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.064,32,0.3956543
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.128,32,0.4137467
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.256,32,0.4407013
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.512,32,0.4819252
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,1.024,32,0.5374993
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.016,0.1,0.0183844
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.032,0.1,0.0212154
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.064,0.1,0.0243535
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.128,0.1,0.0305917
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.256,0.1,0.0430144
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.512,0.1,0.0677218
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,1.024,0.1,0.1172454
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.016,1, 0.0267607
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.032,1,0.0306270
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.064,1,0.0341699
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.128,1,0.0402200
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.256,1,0.0524653
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.512,1,0.0771351
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,1.024,1,0.1265215
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.016,2, 0.0387352
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.032,2,0.0446546
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.064,2,0.0500758
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.128,2,0.0587071
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.256,2,0.0719138
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.512,2,0.0960129
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,1.024,2,0.1451593
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.016,4, 0.0550463
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.032,4,0.0647048
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.064,4,0.0729390
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.128,4,0.0865673
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.256,4,0.1065860
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.512,4,0.1354384
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,1.024,4,0.1833500
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.016,8, 0.0743136
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.032,8,0.0903103
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.064,8,0.1040269
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.128,8,0.1249964
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.256,8,0.1576065
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.512,8,0.2011478
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,1.024,8,0.2618579
